spikes,cellID
-1081.464,FMS
-1051.256,FMS
-1007.512,FMS
-992.312,FMS
-979.48,FMS
-974.136,FMS
-954.424,FMS
-951.384,FMS
-929.592,FMS
-843.128,FMS
-828.312,FMS
-795.416,FMS
-773.912,FMS
-741.016,FMS
-714.2,FMS
-707.352,FMS
-695.384,FMS
-692.12,FMS
-675,FMS
-668.312,FMS
-655.832,FMS
-594.136,FMS
-589.304,FMS
-580.376,FMS
-579.224,FMS
-543.608,FMS
-539.256,FMS
-470.584,FMS
-430.424,FMS
-424.408,FMS
-402.552,FMS
-372.888,FMS
-370.008,FMS
-351.64,FMS
-344.312,FMS
-339.928,FMS
-329.816,FMS
-308.504,FMS
-296.792,FMS
-259.224,FMS
-224.792,FMS
-216.632,FMS
-124.216,FMS
-98.712,FMS
-84.536,FMS
-48.952,FMS
-40.088,FMS
-12.792,FMS
-8.568,FMS
21.32,FMS
32.36,FMS
49.352,FMS
59.432,FMS
63.816,FMS
68.904,FMS
109.224,FMS
116.776,FMS
164.936,FMS
178.344,FMS
213.992,FMS
225.064,FMS
245,FMS
251.912,FMS
255.4,FMS
259.016,FMS
261.96,FMS
267.688,FMS
340.552,FMS
357.032,FMS
367.72,FMS
375.912,FMS
382.216,FMS
386.664,FMS
392.648,FMS
397.608,FMS
416.968,FMS
430.152,FMS
497.096,FMS
518.728,FMS
542.856,FMS
549.288,FMS
556.872,FMS
583.496,FMS
602.856,FMS
619.912,FMS
635.432,FMS
659.752,FMS
721.512,FMS
770.76,FMS
804.424,FMS
815.4,FMS
-951.36,SMF
-924.864,SMF
-912.256,SMF
-862.016,SMF
-822.624,SMF
-810.336,SMF
-792.224,SMF
-741.12,SMF
-686.624,SMF
-666.304,SMF
-658.688,SMF
-649.056,SMF
-609.312,SMF
-604.736,SMF
-594.72,SMF
-518.592,SMF
-516.736,SMF
-509.792,SMF
-503.52,SMF
-496.48,SMF
-489.728,SMF
-459.328,SMF
-456.896,SMF
-409.088,SMF
-393.92,SMF
-381.952,SMF
-363.488,SMF
-354.08,SMF
-349.632,SMF
-343.52,SMF
-296.832,SMF
-271.008,SMF
-168.864,SMF
-162.176,SMF
-153.056,SMF
-142.144,SMF
-134.912,SMF
-92.96,SMF
-67.456,SMF
-58.784,SMF
-48.32,SMF
-40.032,SMF
-36.544,SMF
11.648,SMF
78.304,SMF
99.424,SMF
106.912,SMF
149.312,SMF
158.4,SMF
231.168,SMF
247.008,SMF
264.896,SMF
273.632,SMF
302.912,SMF
314.176,SMF
369.056,SMF
383.328,SMF
392.48,SMF
438.112,SMF
444.896,SMF
452.736,SMF
459.296,SMF
464.736,SMF
